IssueID	Category	SpecificIssue	ExpandedDescription	AcceptanceCriteria	Test	Solution1	Solution2	Solution3	Solution4	Effort
171	Bootstrap 3.3.6 Specific	? and checkmark announced twice (WCAG 1.3.1)	Question mark and checkmark icons are announced twice by screen readers due to duplicate text + icon, violating WCAG 1.3.1.,	Icons have single concise announcement or are hidden if decorative.,	Inspect icons with screen reader; confirm no duplicate announcements.,	Add aria-hidden to redundant icons in core-overrides.,	CSS rule for icon hiding.,	a11y.scss block.,	Theme icon standardization.,	Low
172	Bootstrap 3.3.6 Specific	Legend heading no markup (WCAG 1.3.1)	Legend text in forms is not marked as heading or proper label, violating WCAG 1.3.1.,	Legend text uses appropriate heading or label markup.,	Inspect forms with legends; confirm proper structure.,	Update legend markup in core-overrides.,	CSS for legend styling.,	a11y.scss enforcement.,	Theme form templates.,	Low
173	Bootstrap 3.3.6 Specific	Date/time grouping announced thrice (WCAG 1.3.1)	Date/time fields announce grouping three times due to redundant labels, violating WCAG 1.3.1.,	Date/time groups announce once with clear context.,	Inspect date/time fields with screen reader; confirm single announcement.,	Simplify grouping markup in core-overrides.,	CSS for field grouping.,	a11y.scss rule.,	Theme date/time widget update.,	Low
174	Bootstrap 3.3.6 Specific	Unnecessary list on attachment button (WCAG 1.3.1)	Attachment button is wrapped in unnecessary list markup, violating WCAG 1.3.1.,	Attachment buttons have clean non-list structure.,	Inspect attachment button; confirm no unnecessary list.,	Remove list wrapper in core-overrides templates.,	CSS for button.,	a11y.scss enforcement.,	Theme attachment component.,	Low
175	Bootstrap 3.3.6 Specific	Tooltip not announced (WCAG 1.3.1)	Tooltips on hover/focus are not announced to screen readers, violating WCAG 1.3.1.,	Tooltips use aria-describedby or proper role for announcement.,	Hover/focus on tooltip elements; confirm announcement.,	Add aria-describedby to tooltip triggers in core-overrides.,	CSS for tooltip visibility.,	a11y.scss tooltip ARIA block.,	Theme tooltip standardization.,	Medium
176	Bootstrap 3.3.6 Specific	Dismiss X announced twice (WCAG 1.3.1)	Modal dismiss "X" button is announced twice due to duplicate text/icon, violating WCAG 1.3.1.,	Dismiss button has single clear accessible name.,	Open modal and inspect close button with screen reader; confirm single announcement.,	Simplify dismiss button markup in core-overrides.,	CSS for close button.,	a11y.scss rule.,	Theme modal component.,	Low
177	Bootstrap 3.3.6 Specific	Record link multiple references (WCAG 1.3.1)	Record links have multiple redundant references in accessible name, violating WCAG 1.3.1.,	Record links have concise unique accessible names.,	Inspect record links; confirm clean name.,	Clean accessible name in core-overrides templates.,	CSS for links.,	a11y.scss enforcement.,	Theme list/record link update.,	Low
178	Bootstrap 3.3.6 Specific	Search icon announced thrice (WCAG 1.3.1)	Search icon is announced three times due to redundant text/icon/title, violating WCAG 1.3.1.,	Search icon has single concise announcement or is hidden.,	Inspect search icon with screen reader; confirm single announcement.,	Simplify search icon markup in core-overrides.,	CSS for icon.,	a11y.scss rule.,	Theme search component.,	Low
179	Bootstrap 3.3.6 Specific	Article metadata not meaningful (WCAG 1.3.1)	Knowledge article metadata is not marked with proper headings or labels, violating WCAG 1.3.1.,	Article metadata uses semantic headings and labels.,	Inspect knowledge article; confirm meaningful structure.,	Update metadata markup in core-overrides.,	CSS for metadata.,	a11y.scss enforcement.,	Theme knowledge article template.,	Low
180	Bootstrap 3.3.6 Specific	Metadata bypassed by screen reader (WCAG 1.3.1)	Some metadata is bypassed or not announced by screen readers due to improper markup, violating WCAG 1.3.1.,	All metadata is properly announced with correct roles.,	Inspect metadata sections with screen reader; confirm full announcement.,	Fix markup in core-overrides templates.,	CSS for visibility.,	a11y.scss block.,	Theme metadata standardization.,	Low
