IssueID	Category	SpecificIssue	ExpandedDescription	AcceptanceCriteria	Test	Solution1	Solution2	Solution3	Solution4	Effort
11	Color Contrast	Pagination active state contrast	Pagination active page indicators (.pagination > .active > a) use a light blue background with dark text giving only ~3.6:1 ratio, failing WCAG 1.4.3 and making it difficult for users to identify the current page in long lists, knowledge search results, or ticket history tables.	All active pagination items achieve at least 7:1 contrast with clear visual distinction from inactive items.	Navigate to a paginated list in the litmus widget or any ServiceNow list view, click through pages, and run axe-core to confirm active state contrast passes.	Override .pagination > .active > a { background: #003366; color: #fff; } in core-overrides.scss	Introduce --sb-pagination-active-bg and --sb-pagination-active-text CSS vars and reference them	Add !important rule in a11y.scss specifically for .pagination .active	Update Theme Builder pagination colors and recompile	Medium
12	Color Contrast	Icon-only buttons with low contrast icons	Icon-only buttons (e.g. glyphicon buttons without text) use default gray icons (#737373) on light backgrounds with ratio ~3.2:1, violating WCAG 1.4.3 and 1.4.11 and making toolbar actions (edit, delete, filter) unusable for low-vision users in forms, lists, and dashboards.	All icon-only buttons achieve minimum 4.5:1 icon contrast (7:1 target) and remain distinguishable.	Inspect any glyphicon-only button in the litmus widget with the browser color picker and contrast tool; confirm passes after fix.	Set .btn .glyphicon { color: #222; } in core-overrides	Define --sb-icon-button-color var and apply to all icon buttons	Use SVG filter or stroke for higher contrast icons in a11y.scss	Theme-level icon color variable injection	Low
13	Color Contrast	Chart legends in widgets	Chart legend text and color swatches in dashboard widgets use small gray text and thin colored lines with ratio ~3.1:1, failing WCAG 1.4.3 and 1.4.11 and preventing users from correctly identifying data series in performance, incident, or SLA charts.	All chart legend items achieve >=4.5:1 contrast and are clearly readable at 100% zoom.	Open any dashboard widget containing a chart in the litmus test page, run WAVE, and confirm legend text passes contrast.	Override .chart-legend { color: #222; font-weight: bold; } in core-overrides	Add CSS vars for each chart series color with darker variants	Apply high-contrast mode media query in a11y.scss	Sync with Theme Builder for widget-specific colors	Medium
14	Color Contrast	Progress bar text	Progress bars (.progress-bar) show white or light text on colored bars with ratio ~3.4:1 (especially on success/info bars), failing WCAG 1.4.3 and making percentage complete unreadable in task trackers, SLA indicators, and catalog status displays.	All progress bar text achieves 7:1 contrast against its background bar color.	Load a progress bar in the litmus widget, inspect the inner text with axe-core, and confirm pass after override.	Set .progress-bar { color: #fff !important; } with darker bar backgrounds in core	Define --sb-progress-text and --sb-progress-bg vars	Use !important only in a11y.scss for progress bars	Theme CSS update for progress component colors	Low
15	Color Contrast	Badge/label variants	Badge and label components (.badge, .label) across all variants (default, primary, success, etc.) use combinations yielding 3.5:1–4.0:1 ratios, failing WCAG 1.4.3 and making status indicators (priority, state, count) hard to read in lists, tickets, and notifications.	Every badge/label variant meets minimum 7:1 contrast with no color bleed or regression.	Scan all label/badge examples in the litmus widget with axe-core and confirm all 6 variants pass.	Create comprehensive overrides for .label*, .badge* in core-overrides.scss with darker backgrounds	Introduce a full set of --sb-badge-* CSS variables	Add high-contrast !important block in a11y.scss	Extend Theme record with badge color variables	Low
16	Color Contrast	Navbar brand text in light theme	Navbar brand/logo text (.navbar-brand) in light themes uses default dark gray (#333) on very light header backgrounds resulting in ~4.3:1 ratio, failing WCAG 1.4.3 and making the portal identity hard to read for low-vision users at the top of every page.	All navbar brand text achieves at least 7:1 contrast with no impact on logo images or mobile collapse.	Load any portal page, inspect .navbar-brand with contrast tool, and confirm passes in both light and dark modes.	Override .navbar-brand { color: #111; font-weight: 700; } in core-overrides.scss	Define --sb-navbar-brand-color var and apply in both files	Add high-contrast media query rule in a11y.scss	Theme Builder navbar color variable update	Low
17	Color Contrast	Footer links	Footer links in the portal footer use standard link color with ratio ~4.0:1 on footer background, failing WCAG 1.4.3 and causing usability problems for users scrolling to bottom for copyright, privacy, or help links.	All footer links meet 4.5:1 minimum (7:1 target) and remain distinguishable when visited.	Scroll to footer in litmus widget or any page, tab through links, and verify with WAVE tool.	Override footer a { color: #004080; } in core-overrides	Create --sb-footer-link var with darker shade	Combine with focus-visible in a11y.scss	Theme record CSS Variables for footer section	Medium
18	Color Contrast	Modal header text	Modal dialog headers (.modal-header .modal-title) use default text color on light header background with ratio ~3.9:1, failing WCAG 1.4.3 and making important dialog titles (confirm delete, edit record) difficult to read during critical workflows.	All modal header text achieves 7:1 contrast with no regression to modal body.	Open any modal in the litmus widget or a real form, inspect header text, and confirm contrast passes.	Override .modal-header .modal-title { color: #222; } in core	Introduce --sb-modal-header-text var	Apply !important scoped rule in a11y.scss	Theme-level modal styling override	Low
19	Color Contrast	Tab panel inactive tabs	Inactive tabs in Bootstrap tab components use gray text on light backgrounds with ratio ~3.8:1, failing WCAG 1.4.3 and making it hard for users to distinguish active vs inactive tabs in multi-tab forms and knowledge articles.	All tab states (active/inactive/hover/focus) meet 4.5:1 with clear active distinction.	Click through tabs in the litmus widget, inspect inactive tabs with axe-core, and confirm pass.	Override .nav-tabs > li > a { color: #555; } and .nav-tabs > li.active > a { color: #fff; background: #337ab7; } in core	CSS vars for --sb-tab-inactive and --sb-tab-active	High-contrast focus rule in a11y.scss	Theme Builder tab component color sync	Medium
20	Color Contrast	Tree view node text	Tree view nodes in hierarchical lists (e.g. knowledge categories, service catalog folders) use default gray text with ratio ~3.7:1 on white, failing WCAG 1.4.3 and reducing readability in expanded navigation trees.	All tree node text achieves minimum 7:1 contrast and remains readable when expanded/collapsed.	Expand a tree in the litmus widget or knowledge base, run contrast check on node labels, and verify.	Set .treeview .node { color: #222; } in core-overrides	Define --sb-tree-node-color var	Add !important in a11y.scss for tree classes	Theme CSS Variables for tree components	Low
21	Focus Indicators	No visible focus ring on buttons	Buttons (.btn and variants) have no visible :focus or :focus-visible outline by default in Bootstrap 3.3.6, violating WCAG 2.4.7 and 2.4.11. Users relying on keyboard navigation cannot see which element has focus, especially in forms, modals, and action bars.	Every interactive button shows a clear, high-contrast focus indicator (minimum 3px solid outline with 3:1 contrast) that does not disappear on click or scroll.	Tab through all buttons in the litmus test widget using keyboard only; confirm a visible ring appears on every button and remains until focus moves.	Add html body .btn:focus-visible { outline: 4px solid #0066cc; outline-offset: 3px; } in snowboots-core-overrides.scss	Define --sb-focus-color and --sb-focus-offset CSS vars and apply globally	Create a dedicated high-contrast focus block with !important in snowboots-a11y.scss	Add focus styles to Theme record and test across browsers	Medium
22	Focus Indicators	Focus ring obscured by other elements	Focus rings on buttons, inputs, and links are partially or fully hidden behind overlapping elements (z-index issues in widgets, modals, or custom CSS), violating WCAG 2.4.7 and preventing keyboard users from tracking their location.	Focus indicators are never obscured; they appear above all other elements with sufficient offset and remain visible in all states.	Open overlapping elements in litmus widget (e.g. modal with buttons), tab through, and visually confirm ring is fully visible and not clipped.	Add z-index: 9999; to focus rules in core-overrides	Use outline-offset: 4px combined with box-shadow fallback in both files	Apply !important + higher specificity in a11y.scss	Theme-level global focus layer with CSS variables	Low
23	Focus Indicators	Insufficient outline thickness/offset	Default or custom focus outlines are only 1px thin with zero offset, providing poor visibility (fails WCAG 2.4.11 non-text contrast and 2.4.7), especially on small buttons or high-contrast themes.	All focus indicators use at least 3px thickness and 3px offset with 3:1 contrast ratio.	Inspect focused element in DevTools on litmus widget and measure outline with ruler tool; confirm passes after fix.	Set outline: 3px solid var(--sb-focus); outline-offset: 3px; in core-overrides	Introduce --sb-focus-thickness and --sb-focus-offset vars	Use box-shadow: 0 0 0 4px rgba(...) as fallback in a11y.scss	Theme Builder custom focus style injection	Low
24	Focus Indicators	Focus not visible on links	Links (<a> tags) have no or very faint focus indicator (default underline only), violating WCAG 2.4.7 and making keyboard navigation through navigation, breadcrumbs, and content links unusable for many users.	Every link shows a clear focus ring or bold underline with high contrast when tabbed to.	Tab through all links in the litmus widget and confirm visible indicator on each.	Override a:focus-visible { outline: 3px solid #0066cc; } in core	CSS var --sb-link-focus with text-decoration boost	High-contrast !important rule in a11y.scss	Theme-level link focus styles	Medium
25	Focus Indicators	Focus lost when opening modals	When a modal opens, keyboard focus is not automatically moved to the modal content or close button (common in Bootstrap modals), causing focus to remain on background elements and creating a keyboard trap or disorientation, violating WCAG 2.4.3 and 2.4.7.	Focus is programmatically moved to the first focusable element inside the modal on open and trapped until closed.	Open any modal via keyboard in litmus widget or real page, tab inside, and confirm focus starts inside modal with no background interaction.	Add small JS snippet to enforce modal focus management (vanilla JS polyfill)	Override .modal { } with CSS that enables focus styles + note for JS enhancement in core	Dedicated a11y rule + aria-hidden on background in a11y.scss	Theme/Portal script include for modal focus handler	Medium
26	Focus Indicators	Keyboard trap in modals	Bootstrap modals and custom dialogs trap keyboard focus incorrectly (focus can escape to background or get stuck without escape key handling), violating WCAG 2.1.1 and 2.4.3. Users cannot navigate out or within the modal using only keyboard, especially in confirmation or edit dialogs.	Modal focus is fully trapped inside the dialog until closed, with Escape key working and focus returned to trigger element.	Open a modal with keyboard, attempt to tab outside (should fail), press Escape (should close), and confirm focus returns correctly.	Add vanilla JS focus trap polyfill loaded via Theme JS Include	CSS rule to set modal as inert on background + aria-modal=true in core-overrides	Dedicated a11y.scss rule with role and aria attributes enforcement	Portal script include with jQuery-compatible modal focus handler	Medium
27	Focus Indicators	Focus order incorrect in forms	Form fields, labels, and buttons have illogical tab order (e.g. labels after inputs or buttons before fields) due to Bootstrap layout or custom widget HTML, violating WCAG 2.4.3 and causing keyboard users to navigate in confusing sequences.	Tab order follows logical reading order (left-to-right, top-to-bottom) with no jumps or skips in any form.	Tab through the entire litmus widget form section and any real catalog item; confirm sequential logical order.	Add tabindex="0" and reorder HTML comments in widget templates (note in core)	CSS logical properties + flex order override in core-overrides	ARIA flow and tabindex fixes in a11y.scss	Theme-level form template standardization	Low
28	Focus Indicators	Skip-to-main-content link missing	No visible or accessible skip link at the top of pages to bypass repetitive navigation (navbar, sidebar), violating WCAG 2.4.1 and forcing keyboard users to tab through hundreds of items before reaching content.	A visible, focusable skip link appears on first tab and jumps directly to main content.	Press Tab once on page load in litmus widget or any portal page; confirm skip link appears and works.	Add <a href="#main-content" class="sr-only-focusable">Skip to main</a> at top of pages in core-overrides styling	CSS rule to make skip link visible on focus with high contrast	Full a11y.scss block with position and styling	Portal header widget update with skip link	Low
29	Focus Indicators	Tab order jumps in dynamic widgets	Dynamic widgets (lists, carousels, AJAX-loaded sections) cause sudden tab order jumps or skipped elements when content loads, violating WCAG 2.4.3 and disorienting keyboard users in service catalog or knowledge base pages.	Tab order remains consistent and predictable even after dynamic content loads.	Load a dynamic widget in litmus test, trigger refresh/AJAX, and tab through; confirm no jumps.	Add mutation observer JS to re-order tabindex on load	CSS rule with logical flow in core-overrides	a11y.scss rule with aria-live for order announcements	Theme script include for dynamic tab order management	Medium
30	Focus Indicators	Icon-only buttons not focusable	Some icon-only buttons (e.g. glyphicon action buttons in tables or toolbars) lack tabindex or proper role, making them unreachable by keyboard, violating WCAG 2.1.1 and 2.4.7 in lists and dashboards.	Every icon-only button is keyboard-focusable and announces its purpose.	Tab through all icon buttons in litmus widget; confirm each receives focus and has tooltip/aria-label.	Add tabindex="0" and role="button" via CSS selector in core-overrides	CSS var + focus styles for icon buttons	a11y.scss rule with aria-label enforcement	Theme-level global button accessibility fix	Low
31	Focus Indicators	Dropdown menus not keyboard operable	Dropdown menus (.dropdown-menu and custom select-like widgets) do not respond to keyboard (no arrow key navigation, no Enter to select, no proper ARIA), violating WCAG 2.1.1 Keyboard and 2.4.3 Focus Order. This breaks filters, navigation menus, and catalog variable selectors for keyboard-only users.	Dropdowns open with Space/Enter, allow full arrow navigation and selection, and close with Esc; all items are focusable.	Tab to dropdown, open with keyboard, navigate items, select, and close; confirm full operability in litmus widget and real filter.	Add vanilla JS keyboard event listener polyfill for dropdowns	CSS rule with aria-haspopup and role=menu in core-overrides	Full ARIA + keyboard support block in a11y.scss	Theme JS Include for global dropdown keyboard handler	Medium
32	Focus Indicators	Carousel controls not reachable by keyboard	Carousel previous/next buttons and indicators lack focus styles or tabindex, making slide navigation impossible by keyboard, violating WCAG 2.1.1 and 2.4.7 in featured content or knowledge carousels.	Carousel controls are fully keyboard-focusable, operable, and announce current slide.	Tab through carousel in litmus widget, advance slides with keyboard, and confirm controls receive visible focus.	Override .carousel-control { tabindex: 0; } + focus styles in core	CSS vars for carousel button colors + focus ring	Dedicated carousel keyboard rule in a11y.scss	Portal widget override for accessible carousel	Low
33	Focus Indicators	Off-screen focusable elements	Elements positioned off-screen (e.g. hidden side panels or modal backgrounds) remain focusable, causing keyboard focus to disappear or trap users, violating WCAG 2.4.3 and 2.4.7.	All off-screen elements have tabindex=-1 or aria-hidden when not visible; focus never lands on them.	Tab through page with off-screen elements open/closed; confirm focus never jumps to hidden areas.	Add CSS rule html body [aria-hidden="true"] { display: none; } with tabindex handling in core	JS helper to manage tabindex dynamically	a11y.scss rule enforcing aria-hidden on off-screen elements	Theme script for global focus management	Medium
34	Focus Indicators	Focus indicator disappears on scroll	Focus ring on long pages or scrollable widgets disappears when scrolling, violating WCAG 2.4.7 because keyboard users lose track of position during scrolling content.	Focus indicator remains visible at all times during scroll (sticky or re-applied).	Scroll a long page while focused on an element in litmus widget; confirm ring stays visible.	Add position: sticky or will-change to focus rules in core-overrides	CSS var for persistent focus with box-shadow fallback	!important scroll-safe focus block in a11y.scss	Theme-level scroll event listener for focus refresh	Low
35	Focus Indicators	Custom widget buttons lack focus styles	Custom ServiceNow widgets (e.g. catalog cards, list actions) have buttons without any focus indicator due to overriding Bootstrap defaults, violating WCAG 2.4.7 and 2.4.11 across hundreds of pages.	Every custom widget button receives the same high-contrast focus ring as core buttons.	Inspect buttons in custom widgets via litmus or real page; tab and confirm visible focus on all.	Add broad selector html body .widget button:focus-visible { outline... } in core	CSS var reuse + widget class targeting	High-specificity a11y.scss override for .widget	Theme CSS Variables for widget button focus	Low
36	Focus Indicators	Navbar items skip on tab	Navbar menu items (including dropdown toggles and links) are skipped during tab navigation or receive focus out of visual order due to Bootstrap float layout and hidden mobile elements, violating WCAG 2.4.3 Focus Order and forcing keyboard users to miss key navigation options.	All navbar items are reachable in logical visual order with no skips when tabbing.	Tab through the entire navbar in litmus widget and real portal; confirm every visible item receives focus sequentially.	Add explicit tabindex="0" and flex ordering in core-overrides for navbar	CSS logical properties + aria-flow in core	Dedicated navbar tab order rule in a11y.scss	Theme/Portal navbar widget standardization	Medium
37	Focus Indicators	Form radio/checkbox groups poor focus	Radio button and checkbox groups lack grouped focus styling or proper fieldset/legend association, causing individual items to have weak or missing focus rings and poor grouping announcement, violating WCAG 2.4.7 and 1.3.1.	Every radio/checkbox group has a clear grouped focus indicator and visible legend.	Tab through radio/checkbox sections in litmus widget; confirm visible ring on group and logical focus movement.	Override .radio, .checkbox { outline on focus } with fieldset styling in core	CSS vars for group focus + legend boost	a11y.scss rule enforcing fieldset/legend	Theme form component template update	Low
38	Focus Indicators	Date picker calendar keyboard navigation fails	Bootstrap date picker calendar (or SN date fields) does not support full keyboard navigation (arrow keys, Enter selection, Esc close), violating WCAG 2.1.1 and 2.4.7 for users entering dates in catalog items or filters.	Date picker is fully keyboard operable: arrows move dates, Enter selects, Esc closes, focus returns correctly.	Open date picker in litmus widget, navigate dates with keyboard only, select and close; confirm success.	Add vanilla JS keyboard handler polyfill for date inputs	CSS rule enabling focus on calendar cells in core	Full ARIA + keyboard block in a11y.scss	Theme script include for date picker accessibility	Medium
39	Focus Indicators	Tree expander arrows not keyboard friendly	Tree expander arrows (+/- icons) are not focusable or lack keyboard activation (Space/Enter), violating WCAG 2.1.1 in hierarchical trees such as knowledge base or service catalog folders.	Every tree expander is keyboard-focusable, activates on Enter/Space, and announces expanded/collapsed state.	Expand/collapse tree nodes in litmus widget using only keyboard; confirm focus and announcement work.	Add role="button" tabindex="0" via CSS selector in core-overrides	CSS var + focus ring for arrows	a11y.scss rule with aria-expanded enforcement	Theme tree widget override	Low
40	Focus Indicators	Pagination links poor focus	Pagination links (.pagination li a) have weak or missing focus indicators and poor visual feedback, violating WCAG 2.4.7 and making it hard for keyboard users to know which page link is active during long result sets.	All pagination links show clear high-contrast focus ring and active state distinction.	Tab through pagination in litmus widget; confirm every link has visible focus.	Override .pagination li a:focus-visible { outline: 4px solid #0066cc; } in core	CSS vars for pagination focus	High-contrast !important in a11y.scss	Theme-level pagination component fix	Low
41	Screen Reader / ARIA	Missing alt text on images	Images throughout ServiceNow Service Portal (logos, icons, charts, catalog item images, search result thumbnails, and widget graphics) have no alt attribute or empty alt="", violating WCAG 1.1.1 Non-text Content. Screen reader users hear nothing or generic filenames, losing all context and meaning.	Every meaningful image has a descriptive alt attribute; decorative images have alt="" and are aria-hidden.	Run axe-core/WAVE on any page with images in litmus widget or real portal; confirm zero "missing alt" violations and all images are announced correctly.	Add alt text via widget HTML templates or CSS ::after pseudo-content fallback with aria-label in core-overrides	Global rule img:not([alt]) { content: attr(title) or default description } with note for content team	a11y.scss rule enforcing aria-hidden on decorative images	Portal-wide image template standardization in Theme	Medium
42	Screen Reader / ARIA	Decorative images with empty alt	Decorative icons and background images (e.g. chevrons, glyphs, spacer GIFs) have alt="" but are still announced or have no aria-hidden, causing screen readers to read unnecessary noise and clutter, violating WCAG 1.1.1.	All purely decorative images are completely silent to screen readers (alt="" + aria-hidden="true" or CSS background).	Scan page with NVDA/JAWS in litmus widget; confirm no announcement of decorative icons.	Add aria-hidden="true" to all glyphicon and decorative img in core-overrides	CSS rule .glyphicon { aria-hidden:true via attribute }	a11y.scss block targeting all known decorative classes	Theme record CSS for global decorative image hiding	Low
43	Screen Reader / ARIA	Alt text not descriptive	Existing alt text on images is generic (e.g. "image", "icon", "photo") instead of meaningful context (e.g. "ServiceNow logo - Vancouver release"), violating WCAG 1.1.1 and 4.1.2.	All alt text is concise, unique, and describes purpose/context (max 125 chars).	Read aloud with screen reader on every image in litmus widget; confirm meaningful announcement.	Update widget HTML with descriptive alt templates in core-overrides comments	CSS pseudo + title fallback for images	a11y.scss rule with aria-describedby for complex images	Content audit + Theme image guidelines	Medium
44	Screen Reader / ARIA	Duplicate ARIA labels on buttons	Multiple buttons have identical aria-label or title (e.g. multiple "Close" or "Edit" buttons on page), violating WCAG 4.1.2 and causing screen reader confusion on which action is intended.	Every button has unique, context-aware accessible name (e.g. "Close ticket XYZ-123").	Tab through page with screen reader; confirm no duplicate announcements.	Add data-specific aria-label via JS or widget variables in core	CSS attribute selector for buttons + unique title	a11y.scss enforcement with !important aria-label patterns	Theme script for dynamic button labeling	Medium
45	Screen Reader / ARIA	Missing role on custom components	Custom ServiceNow widgets (cards, tiles, accordions, tabs) lack role="button", role="tab", role="region", etc., violating WCAG 4.1.2 Name, Role, Value and making them invisible or misannounced to screen readers.	Every custom interactive component has correct ARIA role and matching states.	Inspect custom widgets in litmus with axe-core; confirm zero missing-role violations.	Add role attributes via broad CSS selector + JS polyfill in core-overrides	CSS vars for ARIA states	Full a11y.scss block with role mappings for common widgets	Theme-level widget ARIA template standard	Medium
46	Screen Reader / ARIA	ARIA landmark missing (main, navigation)	Service Portal pages lack <main>, <nav>, <banner>, or other ARIA landmark roles (or have duplicate/misplaced ones), violating WCAG 1.3.1 and 4.1.2. Screen reader users cannot quickly jump to main content or navigation sections, leading to frustration and lost orientation.	Every page has exactly one role="main", one role="navigation", and other landmarks where appropriate with unique labels.	Run axe-core on any page; confirm zero landmark violations and screen reader landmark menu shows correct sections.	Add role="main" id="main-content" and role="navigation" to portal containers in core-overrides HTML comments	CSS selector rule to enforce landmark classes	a11y.scss block with aria-label for landmarks	Theme record with landmark HTML snippets	Low
47	Screen Reader / ARIA	Live regions not announced properly	Dynamic updates (notifications, AJAX results, form errors) are not wrapped in aria-live="polite" or "assertive", violating WCAG 4.1.3 and 2.4.3. Screen reader users miss real-time changes in tickets, catalog, or dashboards.	All dynamic status areas are wrapped in proper aria-live regions and announce changes immediately.	Trigger a notification or form error in litmus widget; confirm screen reader announces it instantly.	Add aria-live="polite" to alert and status divs in core-overrides	CSS var + role for live regions	a11y.scss rule enforcing aria-live on known dynamic classes	Theme script include for dynamic live region management	Medium
48	Screen Reader / ARIA	Modal not announced on open	Modals open without aria-modal="true", role="dialog", or title announcement, violating WCAG 4.1.2 and 2.4.3. Screen reader users are not told a dialog opened or what it is for.	Every modal announces itself on open, traps focus, and has proper role + title.	Open modal in litmus widget with screen reader; confirm announcement and focus trap.	Add aria-modal="true" role="dialog" aria-labelledby in core-overrides	CSS rule for modal announcement styling	Full a11y.scss modal ARIA block	Theme JS Include for modal open announcement	Medium
49	Screen Reader / ARIA	Form labels not associated (for/id)	Form inputs lack matching for/id attributes on <label> tags (common in Bootstrap and custom widgets), violating WCAG 1.3.1 and 3.3.2. Screen readers do not associate labels with fields.	Every form control has a correctly associated label via for/id or aria-labelledby.	Tab through form in litmus widget with screen reader; confirm every input announces its label correctly.	Add for/id pairing via widget templates in core-overrides	CSS pseudo for label association fallback	a11y.scss rule enforcing label association	Theme form standardization	Low
50	Screen Reader / ARIA	Placeholder used instead of label	Many inputs rely only on placeholder text without a persistent <label>, violating WCAG 3.3.2 and 1.3.1. When placeholder disappears on focus, screen readers and low-vision users lose context.	All inputs have persistent visible labels; placeholder is supplementary only.	Focus an input in litmus widget; confirm label remains and is announced correctly.	Override .form-control with associated label requirement note in core	CSS var + label display enforcement	a11y.scss rule removing placeholder-only patterns	Theme-wide form label template enforcement	Low
