IssueID	Category	SpecificIssue	ExpandedDescription	AcceptanceCriteria	Test	Solution1	Solution2	Solution3	Solution4	Effort
131	Bootstrap 3.3.6 Specific	Tooltip/popover accessibility	"Tooltips and popovers lack proper ARIA and keyboard support, violating WCAG 2.1.1 and 4.1.2.","Tooltips/popovers are keyboard accessible and announced properly.","Trigger tooltip with keyboard in litmus widget; confirm announcement.","Add ARIA attributes via JS polyfill in core-overrides","CSS tooltip styles","a11y.scss tooltip ARIA","Theme tooltip component","Medium"
132	Bootstrap 3.3.6 Specific	Tab navigation in Bootstrap tabs	"Bootstrap tabs have incomplete ARIA and focus management, violating WCAG 2.4.3 and 4.1.2.","Tabs are fully ARIA compliant with proper focus.","Test tab navigation in litmus widget; confirm compliance.","Override .nav-tabs with full ARIA in core-overrides","CSS tab focus styles","a11y.scss tab block","Theme tab component","Low"
133	Bootstrap 3.3.6 Specific	Carousel accessibility	"Carousels lack proper ARIA live regions and keyboard controls, violating WCAG 2.4.7 and 4.1.3.","Carousels announce slide changes and are keyboard operable.","Test carousel in litmus widget; confirm accessibility.","Add ARIA live and controls in core-overrides","CSS carousel focus","a11y.scss carousel block","Theme carousel widget","Medium"
134	Bootstrap 3.3.6 Specific	Progress bars	"Progress bars lack complete ARIA value attributes, violating WCAG 4.1.2.","Progress bars have full ARIA values.","Inspect progress bars in litmus widget; confirm ARIA.","Add ARIA attributes in core-overrides","CSS progress styles","a11y.scss progress block","Theme progress component","Low"
135	Bootstrap 3.3.6 Specific	Wells/panels landmark issues	"Wells and panels lack landmark roles, violating WCAG 1.3.1.","Panels have appropriate landmark roles.","Inspect panels in litmus widget; confirm landmarks.","Add role attributes in core-overrides","CSS panel styles","a11y.scss panel block","Theme panel standardization","Low"
136	Bootstrap 3.3.6 Specific	Overridden buttons in widget 1	"Custom widget overrides break button accessibility in specific widgets.","Buttons in widget 1 are accessible.","Test widget 1 buttons; confirm fix.","Targeted overrides for widget 1 in core-overrides","CSS widget-specific rules","a11y.scss widget fixes","Theme widget 1 update","Low"
137	Bootstrap 3.3.6 Specific	Overridden navbar in widget 2	"Custom navbar overrides in widget 2 cause focus issues.","Navbar in widget 2 is accessible.","Test widget 2 navbar; confirm fix.","Targeted navbar overrides in core-overrides","CSS widget navbar","a11y.scss widget navbar","Theme widget 2 fix","Low"
138	Bootstrap 3.3.6 Specific	Overridden forms in widget 3	"Form overrides in widget 3 break labeling.","Forms in widget 3 are accessible.","Test widget 3 forms; confirm fix.","Targeted form overrides in core-overrides","CSS widget forms","a11y.scss widget forms","Theme widget 3 update","Low"
139	Bootstrap 3.3.6 Specific	Overridden forms in widget 4	"Form overrides in widget 4 cause contrast issues.","Forms in widget 4 meet contrast.","Test widget 4 forms; confirm fix.","Targeted overrides in core-overrides","CSS widget forms","a11y.scss widget forms","Theme widget 4 fix","Low"
140	Bootstrap 3.3.6 Specific	Overridden forms in widget 5	"Form overrides in widget 5 break focus.","Forms in widget 5 have proper focus.","Test widget 5 forms; confirm fix.","Targeted overrides in core-overrides","CSS widget forms","a11y.scss widget forms","Theme widget 5 update","Low"
